date,suffer,treatdiff,country,auth,pure,math,cared,unfair,betray,trad,disgust,cruel,rights,loyal,chaos,god,free,restrict,decide,account,merits,punish,reward,viol,killed,harmed,age,gender,edu,polviews,polviews_full,not_loyal,respect_authority,indecent,compassio,gov_fair,proud_country,authority_children,disgust_noharm,good_bad,hurt_animal,justice,loyal_family,men_women,unnatural,kill_human,inherit,team_player,soldier_disobey,chastity,wave,cov_affect,cov_others_worry,cov_worry,cov_quarantine,cov_contag,version,id
2019-09-18,5,5,4,4,5,0,5,5,5,5,5,5,5,3,5,5,4,5,4,5,4,4,5,5,5,5,54,Male,mid,conservative,Extremely conservative,4,4,5,7,5,4,5,7,7,7,7,7,7,7,1,7,1,7,7,t1,1,5,1,1,1,1,315
2019-09-18,3,4,1,3,4,0,4,5,5,3,3,5,4,4,5,4,3,4,2,3,1,4,3,3,3,4,42,Male,high,conservative,Slightly conservative,4,2,4,5,4,4,4,5,7,5,4,3,5,5,3,1,4,5,4,t1,NA,NA,NA,NA,NA,1,233
2019-09-18,3,3,1,1,2,0,4,1,3,1,2,5,2,4,3,1,2,4,2,3,1,3,2,5,5,5,35,Male,high,liberal,Slightly liberal,4,2,4,7,7,7,4,3,7,7,5,5,2,4,2,1,5,5,1,t1,NA,NA,NA,NA,NA,1,166
2019-09-18,4,5,3,0,4,0,2,5,5,0,3,5,5,5,2,0,5,5,5,2,0,0,4,2,3,4,27,Male,high,moderate,Moderate,5,1,4,1,7,1,7,1,4,1,4,1,7,4,1,1,1,7,1,t1,2,4,2,2,2,1,43
2019-09-18,3,3,4,3,4,0,3,3,2,3,3,3,3,1,4,4,2,3,2,2,1,3,2,4,4,4,75,Male,mid,conservative,Conservative,3,4,4,4,5,7,7,4,7,7,5,5,2,5,5,2,5,5,5,t1,3,4,2,1,1,1,141
2019-09-18,2,2,0,3,3,0,3,2,4,2,4,4,3,2,3,3,0,4,4,3,2,1,4,5,5,5,41,Male,mid,liberal,Slightly liberal,3,4,5,5,4,3,5,2,7,2,3,7,3,4,1,4,5,7,3,t1,4,4,2,1,1,1,301
2019-09-18,3,1,3,2,3,0,3,3,3,2,3,4,3,3,4,4,1,2,2,3,2,2,3,4,4,4,58,Male,high,conservative,Extremely conservative,4,3,4,4,4,7,7,4,7,7,5,5,5,5,3,1,4,5,7,t1,NA,NA,NA,NA,NA,1,266
2019-09-18,0,5,0,0,2,0,2,5,0,0,2,2,5,0,2,3,5,5,5,3,0,5,3,3,3,3,35,Male,mid,conservative,Slightly conservative,3,3,3,3,7,1,2,3,7,4,1,3,4,1,1,7,1,1,4,t1,NA,NA,NA,NA,NA,1,100
2019-09-18,5,4,0,2,3,0,2,5,1,0,3,5,3,1,4,2,2,3,2,3,1,3,1,5,5,5,37,Female,mid,conservative,Conservative,2,5,3,7,7,4,5,4,7,7,5,5,2,4,7,4,4,5,4,t1,2,4,2,1,1,1,111
2019-09-18,0,0,2,1,3,0,0,0,4,3,2,0,5,3,0,0,4,4,1,3,4,3,3,3,5,4,36,Male,high,conservative,Extremely conservative,4,2,3,1,1,4,3,5,5,4,5,4,7,5,1,1,3,1,7,t1,2,5,1,1,1,1,87
2019-09-18,3,3,3,2,4,0,4,2,2,3,3,3,3,3,2,4,3,3,3,3,1,4,1,4,5,3,37,Female,mid,conservative,Slightly conservative,3,3,3,5,4,4,5,4,7,7,4,4,5,4,5,4,4,5,5,t1,2,4,2,1,1,1,133
2019-09-18,2,3,2,4,4,2,4,4,3,4,4,4,5,4,4,4,4,3,4,4,4,3,3,3,2,4,24,Male,high,conservative,Conservative,4,4,3,3,7,5,5,5,7,4,5,1,4,4,2,2,5,5,5,t1,2,4,2,1,1,1,158
2019-09-18,4,3,2,4,4,0,5,4,3,3,3,5,4,5,2,5,2,4,3,4,3,5,5,5,5,5,38,Female,high,conservative,Conservative,5,4,4,7,7,4,4,7,7,7,7,7,5,7,7,5,4,7,7,t1,3,2,4,1,1,1,66
2019-09-18,4,3,1,0,2,0,2,4,4,0,0,4,4,0,4,1,2,2,2,2,1,2,3,4,4,4,31,Female,high,moderate,Moderate,2,3,4,7,4,2,5,2,7,5,5,1,1,5,7,1,2,2,1,t1,5,3,3,1,1,1,314
2019-09-18,5,5,0,0,0,0,5,5,1,0,0,5,5,2,5,5,5,5,5,5,3,5,5,5,5,5,36,Male,mid,conservative,Extremely conservative,3,1,5,7,7,1,4,1,7,7,7,1,7,1,7,7,1,1,1,t1,NA,NA,NA,NA,NA,1,223
2019-09-18,4,4,4,5,5,4,5,4,4,4,5,4,5,4,4,5,5,5,5,4,4,4,4,5,5,4,72,Male,mid,liberal,Liberal,5,5,5,5,7,7,5,1,7,5,7,7,7,7,7,5,5,5,7,t1,NA,NA,NA,NA,NA,1,73
2019-09-18,3,2,3,3,1,0,2,5,4,1,1,4,5,4,4,0,5,5,2,4,2,4,3,5,5,5,55,Male,mid,libertarian,Libertarian,5,4,4,4,7,7,4,2,7,7,5,1,5,7,1,1,1,3,1,t1,2,4,2,1,1,1,205
2019-09-18,5,1,3,3,5,0,2,2,2,1,2,3,5,2,3,5,4,5,4,4,2,4,2,5,5,5,38,Female,mid,conservative,Slightly conservative,4,4,4,7,7,5,7,7,7,5,5,2,5,7,7,1,2,7,7,t1,1,5,1,1,1,1,299
2019-09-18,2,2,1,1,1,0,2,2,3,1,1,3,4,2,2,0,2,3,1,3,2,3,1,3,4,3,29,Male,high,conservative,Slightly conservative,3,2,4,3,4,4,3,3,5,4,4,4,4,3,3,3,3,3,4,t1,2,3,2,1,1,1,16
2019-09-18,3,4,1,3,3,0,1,5,4,4,1,3,5,4,4,0,4,4,2,3,1,3,2,4,5,3,33,Male,high,conservative,Slightly conservative,2,2,4,2,4,5,7,4,7,7,3,2,7,1,2,1,4,5,5,t1,4,1,4,1,1,1,207
2019-09-18,3,5,4,4,5,1,5,5,4,5,5,5,5,4,5,5,2,2,1,5,4,4,5,5,5,5,38,Male,high,conservative,Extremely conservative,5,4,5,7,7,7,7,7,7,7,7,5,7,7,4,1,5,5,7,t1,2,4,2,1,1,1,118
2019-09-18,3,5,4,2,4,0,4,5,3,3,4,5,5,3,5,2,4,5,3,4,2,4,5,5,5,5,57,Female,mid,conservative,Slightly conservative,4,4,5,7,7,7,7,7,7,7,7,5,4,5,2,5,2,5,5,t1,2,4,2,3,1,1,42
2019-09-18,3,3,3,3,3,0,3,3,3,3,2,3,4,3,4,4,3,3,2,4,3,3,2,3,4,4,53,Female,high,conservative,Conservative,4,4,4,5,5,5,5,4,7,5,7,4,5,5,2,5,3,5,4,t1,NA,NA,NA,NA,NA,1,176
2019-09-18,1,2,3,3,3,0,3,4,4,3,3,4,3,4,4,0,2,2,2,4,3,4,4,3,2,2,38,Male,mid,conservative,Slightly conservative,4,4,4,2,5,4,4,5,7,3,4,3,5,4,1,2,3,3,5,t1,5,1,5,1,1,1,258
2019-09-18,4,3,2,2,3,0,3,4,2,2,3,4,5,3,4,2,3,3,3,2,0,1,2,3,5,5,27,Male,mid,conservative,Conservative,4,2,4,7,7,7,7,2,7,7,5,7,7,5,1,1,2,3,4,t1,3,4,2,1,1,1,155
2019-09-18,5,5,3,5,5,0,3,5,5,3,1,4,5,3,5,5,5,5,0,5,3,5,4,5,5,5,55,Male,mid,conservative,Conservative,4,4,5,7,7,5,7,7,7,7,7,7,7,7,3,1,4,4,7,t1,2,3,2,1,1,1,219
2019-09-18,3,3,2,4,4,0,4,3,4,3,3,5,5,4,4,5,0,3,1,4,3,3,3,4,5,5,37,Female,high,conservative,Conservative,4,4,5,5,5,5,7,7,7,4,5,5,7,7,7,3,4,7,7,t1,NA,NA,NA,NA,NA,1,103
2019-09-18,1,4,2,3,4,0,1,4,3,1,5,4,5,1,4,3,1,3,1,2,1,1,4,4,5,4,41,Female,mid,conservative,Conservative,4,4,4,5,5,7,1,4,7,7,5,2,2,5,2,1,3,5,5,t1,2,5,3,1,1,1,190
2019-09-18,3,1,1,0,2,0,2,3,0,1,1,5,1,0,3,0,3,4,2,1,0,0,0,3,4,4,55,Female,high,conservative,Extremely conservative,1,1,2,5,4,5,7,3,7,4,7,4,4,4,1,1,1,5,5,t1,5,5,2,1,1,1,227
2019-09-18,5,4,1,3,2,0,3,5,2,1,1,3,4,3,2,0,4,2,2,3,2,2,1,4,4,4,24,Male,high,conservative,Conservative,4,3,4,4,5,4,4,2,7,5,4,2,4,2,2,1,3,4,1,t1,4,1,4,1,1,1,251
2019-09-18,3,3,0,3,2,0,4,2,3,0,0,3,3,1,1,3,3,3,3,3,0,1,2,2,3,3,40,Female,mid,conservative,Conservative,3,4,3,7,7,5,7,5,7,7,4,7,4,5,7,3,7,7,7,t1,NA,NA,NA,NA,NA,1,55
2019-09-18,3,4,3,4,5,0,3,4,4,3,3,4,5,4,3,2,1,4,1,4,1,4,3,5,5,4,45,Female,mid,conservative,Slightly conservative,4,4,5,5,7,7,7,7,7,5,7,5,4,5,2,1,4,7,4,t1,2,4,2,1,1,1,45
2019-09-18,4,5,5,5,4,0,4,3,2,1,2,4,5,1,5,1,4,5,3,4,3,5,5,5,5,4,44,Male,mid,conservative,Conservative,3,5,4,7,7,5,7,4,7,7,4,5,1,3,7,2,2,5,3,t1,4,2,5,1,1,1,143
2019-09-18,5,5,5,5,5,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,54,Female,mid,conservative,Slightly conservative,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,t1,5,5,5,1,1,1,194
2019-09-18,4,4,3,5,4,0,3,3,3,4,4,3,4,3,5,5,3,3,3,3,2,3,2,4,5,5,58,Female,mid,conservative,Conservative,5,4,5,7,5,7,7,5,7,5,7,5,7,5,2,1,1,5,5,t1,2,4,2,1,1,1,130
2019-09-18,4,2,2,3,4,3,3,3,3,3,1,3,3,2,2,2,4,1,3,2,2,3,3,3,2,3,26,Male,mid,liberal,Slightly liberal,3,2,2,4,3,7,3,3,7,7,4,2,5,5,7,3,4,7,3,t1,NA,NA,NA,NA,NA,1,125
2019-09-18,3,3,2,2,0,0,5,4,3,0,0,5,5,2,5,1,2,3,2,4,0,2,4,4,5,4,73,Female,high,conservative,Conservative,3,2,2,7,7,5,4,3,7,7,5,1,1,2,2,3,2,1,2,t1,2,3,4,1,1,1,94
